Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1992,22.64,18.27,-2.27,-2.1,3,-7664,4776,65611,2505
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1993,8.5,12.92,6.38,-1.96,125,-7513,-4358,66128,2363
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1994,9.81,15.98,7.95,-1.78,240,-1692,26,80218,3052
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1995,22.31,16.81,1.17,-6.67,-193,-2619,931,55033,2290
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1996,19.04,14.8,1.16,-5.4,-232,-3327,1667,86955,3556
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1997,21.03,12.12,2.14,-11.05,-148,-9983,-4699,78529,3760
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1998,13.04,10.63,8.09,-10.5,-31,-1225,1569,80585,6915
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,1999,14.97,8.02,5.73,-12.68,90,-17456,5898,160245,11746
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2000,3.77,8.75,10.2,-5.22,-63,14233,-9322,225954,17533
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2001,10.77,3.19,-6.8,-0.78,431,-13430,-10305,160440,14124
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2002,2.63,0.27,-1.91,-0.45,-57,-2298,-2938,173368,18777
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2003,11.61,-0.87,-8.04,-4.44,404,-20520,-2837,164246,19773
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2004,22.08,0.45,-0.57,-21.06,175,-31071,-14040,140044,19099
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2005,5.35,0.82,-4.4,-0.13,-397,-8186,2323,263980,39108
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2006,5.12,1.8,-0.91,-2.41,424,-4744,-2663,269837,42768
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2007,4.19,-0.01,-2.47,-1.73,286,-9139,-7694,297394,50453
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2008,4.45,-1.06,-8.75,3.24,477,-21858,-13985,373842,79133
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2009,6.35,3.42,-13,10.07,-358,-19691,-2010,546318,145778
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2010,4.08,2.11,4.98,-6.95,-504,-15303,-61,689487,196111
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2011,6.92,1.4,-8.78,3.26,-329,-32448,-30097,566293,191332
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2012,4.8,-2.43,-12.39,5.16,289,-39869,-37650,517736,207062
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2013,4.24,1.73,-8.56,6.05,213,-11476,-9685,436902,209163
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2014,0.77,3.39,3.61,-0.99,-2585,24958,28028,969693,490004
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2015,-1.37,-2.57,-12.44,11.24,538,-15634,-15608,974170,525491
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2016,-2.73,-3.4,-10.75,10.08,-49,-9584,-11630,986895,581002
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2017,-1.62,-0.8,-8.4,9.22,-1952,6940,4884,1013610,648530
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership,2018,-3.8,1.35,-2.44,7.59,-524,57865,55021,1118024,769091
