Agency,Bureau,Account,Program,Cohort Year,Original Subsidy Rate (%),Current Reestimated Rate (%),Change Due to Interest Rates (pct pts),Change Due to Technical (pct pts),Current Reestimate Amt ($K),Net Lifetime Reestimate ($K),Net Lifetime Reest Excl Interest ($K),Total Disbursements ($K),Outstanding Balance ($K)
Department of Agriculture,Office of the Secretary,Food Supply Chain and Agriculture Pandemic Response,Food Processing Supply Chain Loan Guarantees,2022,7.3,3.75,,-3.55,-1946,-7169,-7149,170948,151007
Department of Agriculture,Office of the Secretary,Food Supply Chain and Agriculture Pandemic Response,Food Processing Supply Chain Loan Guarantees,2023,6.91,5.05,,-1.86,-5784,-5941,-6248,324156,252958
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1992,4.89,0.38,-4.45,-0.06,,-28487,-10862,440842,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1993,4.58,0.35,-4.38,0.15,,-25077,-8619,436497,21
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1994,3.82,0.53,-3.35,0.06,,-23989,-9268,532104,90
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1995,3.71,0.83,-2.96,0.08,,-16231,2196,543561,176
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1996,3.74,0.62,-3.32,0.2,1,-21751,-14465,521502,351
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1997,3.69,0.4,-3.42,0.13,1,-20751,-15366,513989,582
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1998,3.86,0.56,-3.42,0.12,,-15495,-13048,415760,749
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,1999,1.59,0.34,-1.14,-0.11,2,-10100,-9577,749207,2385
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2000,0.56,0.26,-0.11,-0.19,4,-2625,-1449,850064,2671
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2001,0.51,0.27,-0.03,-0.21,3,-1603,-2139,833986,4773
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2002,0.45,-0.13,0.08,-0.66,11,-5117,-5813,1069330,7898
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2003,0.75,-0.29,-0.05,-0.99,-279,-9740,-9519,1193556,13418
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2004,0.54,0.04,-0.03,-0.47,-352,3035,2077,1073125,15872
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2005,0.53,0.35,,-0.18,180,3457,1966,998176,20533
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2006,0.48,0.28,-0.02,-0.18,-1393,2245,1208,917635,23700
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2007,0.58,0.66,0.04,0.04,-445,8640,5822,925787,37182
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2008,0.4,0.16,0.09,-0.33,-1574,1312,987,1137792,60009
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2009,0.33,-0.29,0.13,-0.75,3060,-3906,-3754,1237821,101235
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2010,0.37,-0.57,0.02,-0.96,-2337,-13756,-12401,1582589,157717
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2011,0.38,-0.66,0.1,-1.14,-1375,-18880,-17327,1862453,219089
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2012,-0.01,-0.98,0.07,-1.04,-1296,-13884,-13140,1477359,250644
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2013,-0.07,-1.11,0.04,-1.08,-1403,-14509,-13558,1475591,307215
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2014,-0.16,-0.86,-0.02,-0.68,-1457,-11768,-10698,1965738,469796
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2015,-0.12,-0.96,0.03,-0.87,-4861,-16402,-14786,1982550,623239
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2016,-0.14,-0.88,0.05,-0.79,-5485,-17278,-15761,2430694,928554
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2017,-0.06,-0.79,0.03,-0.76,-6277,-14663,-13257,2223464,1012225
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2018,-0.18,-0.94,,-0.76,-5197,-16486,-14719,2071964,1036041
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2019,-0.23,-0.86,0.02,-0.65,-1048,-12174,-11330,2010222,1216148
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2020,-0.29,-0.88,0.11,-0.7,-3381,-16115,-15224,2890846,2139124
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2021,-0.24,-0.76,0.03,-0.55,-3047,-14057,-13561,2672371,2181648
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2022,-0.38,-0.69,-0.07,-0.24,-1775,-7327,-7190,2331795,2103809
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2023,-0.43,-0.65,-0.06,-0.16,-1241,-2960,-2910,1330582,1237634
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Ownership--Unsubsidized,2024,-0.46,-0.6,,-0.14,-1769,-1769,-1704,1214536,897663
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,1992,1.55,1.75,0.94,-0.74,,-267,-11850,943920,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,1994,0.48,2.7,3.35,-1.13,-*,10052,-12568,1054565,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,1996,1.11,2.71,2.5,-0.9,,17881,17298,1103702,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,1998,1.17,2.46,2.6,-1.31,,6969,2729,740124,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,1999,1.16,1.43,2.35,-2.08,,479,-9097,1228124,91
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2000,1.41,2.13,2.11,-1.39,,6600,-12138,981962,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2001,1.37,1.67,2.16,-1.86,1,812,-1727,988695,
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2002,3.51,0.96,0.25,-2.8,1367,-23463,-26599,1038717,78
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2003,3.17,-0.09,-0.04,-3.22,121,-28728,-29139,999187,81
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2004,3.33,0.04,-0.06,-3.23,-716,-31284,-25598,940931,409
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2005,3.23,0.23,0.02,-3.02,1254,-23756,-21092,873987,413
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2006,3.03,0.32,-0.04,-2.67,-428,-23287,-21042,927600,243
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2007,2.47,0.91,0.05,-1.61,-102,-11678,-7738,906793,1208
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2008,2.42,0.78,0.23,-1.87,246,-11146,-9340,940026,1963
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2009,2.49,-0.15,0.3,-2.94,-117,-28074,-25890,1224159,1783
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2010,2.34,-0.43,0.05,-2.82,-5,-34269,-32417,1500624,3254
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2011,2.33,-0.46,0.2,-2.99,-930,-26923,-25697,1165189,3119
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2012,1.74,-0.64,0.14,-2.52,-3139,-17324,-16347,929785,6142
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2013,1.19,-0.19,0.07,-1.45,-2282,-3652,-3343,888724,6002
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2014,1.22,0.03,-0.03,-1.16,-3655,-1101,-826,991767,11809
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2015,1.06,-0.04,0.03,-1.13,-3903,-5026,-4291,1351498,30154
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2016,1.03,-0.45,0.08,-1.56,-5445,-14936,-13626,1481243,36264
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2017,1.07,-0.27,0.07,-1.41,-7538,-16521,-15081,1351535,51483
Department of Agriculture,Farm Service Agency,Agricultural Credit Insurance Fund,Farm Operating--Unsubsidized,2018,1.11,-0.6,-0.02,-1.69,-2027,-16762,-15292,1073143,75882
